Slot,Day,Pillar,What to post,Asset needed,Caption template,Caption drafted,Status,Scheduled for,Posted date,Saves + shares,Notes
Day 1,Mon,Teach,"The single most common question you get, answered properly",Photo of you or the work,Template 6,,Not started,,,,
Day 3,Wed,Show,"Your workspace or setup, as it actually looks","Phone photo, unstaged",Template 47,,Not started,,,,
Day 5,Fri,Prove,A recent job: the problem and the result,Before/after or finished shot,Template 54,,Not started,,,,
Day 8,Mon,Teach,Three things people get wrong about your field,Carousel or plain text,Template 2,,Not started,,,,
Day 10,Wed,Show,The unglamorous part nobody sees,Short vertical video,Template 31,,Not started,,,,
Day 12,Fri,Ask,"What you do and who it is for, plainly, with a link",Clean shot of the work,Template 70,,Not started,,,,
Day 15,Mon,Teach,What it costs and what changes the price,Text over photo,Template 7,,Not started,,,,
Day 17,Wed,Show,A tool or technique you rely on,Close-up photo,Template 43,,Not started,,,,
Day 19,Fri,Prove,"A customer's words, screenshotted, with a thank you",Screenshot,Template 59,,Not started,,,,
Day 22,Mon,Teach,How to tell whether you need this or not,Carousel,Template 8,,Not started,,,,
Day 24,Wed,Show,Before and after,"Two photos, same angle",Template 39,,Not started,,,,
Day 26,Fri,Prove,A number that says something,Text over photo,Template 63,,Not started,,,,
Day 29,Mon,Engage,Question post that invites replies,Any,Template 82,,Not started,,,,
